titleId,title,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,directors
tt0020530,Ein andalusischer Hund,short,Un chien andalou,Un chien andalou,0,1929,16,"Fantasy,Horror,Short",7.7,50295,nm0000320
tt0070628,Das Sanatorium zur Sanduhr,movie,The Hourglass Sanatorium,Sanatorium pod Klepsydra,0,1973,124,"Drama,Fantasy,Horror",7.5,4301,nm0367860
tt0078079,Das kleine Mädchen aus blauem Samt,movie,Little Girl in Blue Velvet,La petite fille en velours bleu,0,1978,108,"Drama,Romance,War",6.1,79,nm0108707
tt0080736,Der letzte Countdown,movie,The Final Countdown,The Final Countdown,0,1980,103,"Action,Adventure,Sci-Fi",6.6,24223,nm0852279
tt0110357,Der König der Löwen,movie,The Lion King,The Lion King,0,1994,88,"Adventure,Animation,Drama",8.5,1048594,"nm0591450,nm0021249"
tt0118098,Stimmen in Der Zeit,movie,Voci nel tempo,Voci nel tempo,0,1996,86,Drama,7.9,322,nm0681311
tt0125659,Öffne die Augen,movie,Open Your Eyes,Abre los ojos,0,1997,119,"Drama,Mystery,Sci-Fi",7.7,69584,nm0024622
tt0205676,Einladung zum Mord,tvMiniSeries,Provincia segreta,Provincia segreta,0,1998,270,"Crime,Drama,Thriller",4.9,11,nm0557170
tt0414993,The Fountain,movie,The Fountain,The Fountain,0,2006,97,"Drama,Mystery,Romance",7.2,239501,nm0004716
tt0421994,Eine Hochzeit zu dritt,movie,Imagine Me & You,Imagine Me & You,0,2005,90,"Comedy,Drama,Romance",6.7,33094,nm0662530
tt0463854,28 Wochen später,movie,28 Weeks Later,28 Weeks Later,0,2007,100,"Action,Adventure,Horror",6.9,276782,nm0294379
tt0903624,Der Hobbit - Eine unerwartete Reise,movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,0,2012,169,"Adventure,Fantasy",7.8,823776,nm0001392
tt10375972,Unser Mann in Amerika,movie,The Good Traitor,Vores mand i Amerika,0,2020,115,"Biography,Drama,War",6.4,1038,nm1258346
tt10500650,Schmucklos,movie,Schmucklos,Schmucklos,0,2019,109,Comedy,4.8,21,nm1302262
tt10857210,Und jetzt: Die Muppets!,tvSeries,Muppets Now,Muppets Now,0,2020,23,"Comedy,Family,Reality-TV",5.9,1192,"nm0057321,nm0002572,nm0857130"
tt11014390,Vicious - Nacht der Gewalt,movie,For the Sake of Vicious,For the Sake of Vicious,0,2020,80,"Action,Horror,Mystery",5.4,1046,"nm2028084,nm2833272"
tt11080108,Sechzehn Stunden Ewigkeit,movie,The Map of Tiny Perfect Things,The Map of Tiny Perfect Things,0,2021,98,"Comedy,Fantasy,Romance",6.8,22899,nm3859682
tt1170358,Der Hobbit - Smaugs Einöde,movie,The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,0,2013,161,"Adventure,Fantasy",7.8,660299,nm0001392
tt12539222,Para - Wir sind King,tvSeries,Para - We Are King,Para - Wir sind King,0,2021,49,Drama,6.7,248,"nm1641324,nm8662190"
tt1263778,Das schöne Mädchen,movie,The Beautiful Person,La belle personne,0,2008,97,"Comedy,Drama",6.6,7313,nm0393394
tt1288407,Visiting Uwe,video,Visiting Uwe,Visiting Uwe,0,2008,50,Documentary,7.1,236,nm3121604
tt1290483,AV,tvSeries,Avant*garde,Avant*garde,0,2008,120,Documentary,8.5,158,nm3121604
tt1620680,Das Zeiträtsel,movie,A Wrinkle in Time,A Wrinkle in Time,0,2018,109,"Adventure,Family,Fantasy",4.2,45231,nm1148550
tt1672749,Die Rose von Rhodesia,movie,The Rose of Rhodesia,The Rose of Rhodesia,0,1918,81,Drama,6.0,34,nm0789748
tt1714841,Der rabiate Rotor,short,Fur of Flying,Fur of Flying,0,2010,3,"Animation,Comedy,Family",6.5,413,nm0639965
tt2251666,"King Ping - Himmel, Tal und Treppentod",movie,King Ping - Tippen Tappen Tödchen,King Ping - Tippen Tappen Tödchen,0,2013,99,"Comedy,Crime",4.1,72,"nm0317488,nm5148803"
tt2310332,Der Hobbit: Die Schlacht der fünf Heere,movie,The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,0,2014,144,"Adventure,Fantasy",7.4,530041,nm0001392
tt2331464,Zwölf Boxkämpfer jagen Viktor quer über den großen Sylter Deich 140 9,short,The Quick Brown Fox Jumps Over the Lazy Dog,The Quick Brown Fox Jumps Over the Lazy Dog,0,2009,3,Short,7.1,16,nm0527074
tt2338233,"Weißt du, was ich mir wünsche?",short,You Know What I Wish For,Shtoby konchilasj vojna,0,2012,15,"Biography,History,Short",7.7,7,nm4750144
tt2418644,Der Test Film,movie,Testing Movie1,Testing Movie1,0,2015,156,"Adventure,Animation,Family",7.5,115,"nm8232692,nm6794040,nm6386378,nm10222384,nm8788119,nm4528296"
tt2770350,Die ewige Nacht der zwölf Monde,movie,La eterna noche de las doce lunas,La eterna noche de las doce lunas,0,2013,87,Documentary,7.2,68,nm1294142
tt2910458,Awake: ein Reiseführer ins Erwachen,movie,Awake in the Dream,Awake in the Dream,0,2013,100,Documentary,7.6,20,nm4287375
tt3074732,Von Pferden und Menschen,movie,Of Horses and Men,Hross í oss,0,2013,81,"Comedy,Drama,Romance",6.8,3338,nm0259574
tt3218524,Wolkenluft: Der Film,movie,Cloud Air: The Movie,Cloud Air: The Movie,0,2013,120,"Adventure,Animation,Biography",7.0,41,"nm3778247,nm11703463"
tt4176556,Zwei Freunde,movie,Two Friends,Les deux amis,0,2015,100,"Comedy,Drama,Romance",5.9,1968,nm0308039
tt4505432,CRO - Unsere Zeit ist jetzt,movie,Unsere Zeit ist jetzt,Unsere Zeit ist jetzt,0,2016,118,"Comedy,Drama,Romance",5.6,1532,nm2347483
tt4568370,Hitzewelle,movie,Blind Sun,Blind Sun,0,2015,88,"Horror,Mystery",5.7,1641,nm2171755
tt4575576,Christopher Robin,movie,Christopher Robin,Christopher Robin,0,2018,104,"Adventure,Comedy,Drama",7.2,78161,nm0286975
tt4636108,Das Sonntagsessen,short,Sunday Lunch,Le repas dominical,0,2015,13,"Animation,Comedy,Drama",7.2,210,nm5663699
tt4779026,House Harker - Vampirjäger wider Willen,movie,I Had a Bloody Good Time at House Harker,I Had a Bloody Good Time at House Harker,0,2016,80,"Action,Comedy,Horror",5.5,853,nm1286934
